102.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
10.fasta        senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
116.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
118.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
121.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
122.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
123.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
125.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
126.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
127.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
129.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
16.fasta        senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
17.fasta        senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
1.fasta         senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
279.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
316.fasta       senterica       129     aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(56)        thrA(8)
319.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
322.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
325.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
32.fasta        senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
331.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
333.fasta       senterica       129     aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(56)        thrA(8)
350.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
351.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
352.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
354.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
356.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
358.fasta       senterica       85      aroC(45)        dnaN(4) hemD(8) hisD(44)        purE(27)        sucA(9) thrA(8)
